Project Title,Administering  IC,Application ID,Project Number,Type,Activity,IC,Serial Number,Support Year,Suffix,Subproject Number ,Contact PI  Person ID,Contact PI / Project Leader,Other PI or Project Leader(s),Organization Name,ARRA Indicator,FY,FY Total Cost ,FY Total Cost  (Sub Projects)
Impact of Hurricane Harvey on the Maternal and Infant Microbiome and Birth Outcomes,NIEHS,9574710,1R21ES029462-01,1,R21,ES,29462,1,,,8196581,"AAGAARD, KJERSTI MARIE",Not Applicable,BAYLOR COLLEGE OF MEDICINE, ,2018,233070,
Assessing the effects of hurricane Maria on Opioid Agonist Treatment access among PWID in rural Puerto Rico,NIDA,9645272,1R21DA047304-01,1,R21,DA,47304,1,,,10507566,"ABADIE, ROBERTO  ","HABECKER, PATRICK ",UNIVERSITY OF NEBRASKA LINCOLN, ,2018,259263,
Development of personalized surgical algorithms for muscle-invasive bladder cancer patients,NCI,9376280,1R21CA218976-01,1,R21,CA,218976,1,,,14327752,"ABBOSH, PHILIP ",Not Applicable,RESEARCH INST OF FOX CHASE CAN CTR, ,2017,199013,
Real-time potassium channel subunit dynamics,NIDCD,9264256,1R21DC015736-01A1,1,R21,DC,15736,1,A1,,7373117,"ABBOTT, GEOFFREY W",Not Applicable,UNIVERSITY OF CALIFORNIA-IRVINE, ,2016,231750,
Discovering the function of a putative ion channel family linked to inherited diseases,NIDCD,9333887,1R21DC015982-01A1,1,R21,DC,15982,1,A1,,7373117,"ABBOTT, GEOFFREY W",Not Applicable,UNIVERSITY OF CALIFORNIA-IRVINE, ,2017,270375,
Quantifying the Benefits of Head-mounting in Telemanipulated Robotic Eye Therapies,NEI,9227868,1R21EY027528-01,1,R21,EY,27528,1,,,10196795,"ABBOTT, JAKE ",Not Applicable,UNIVERSITY OF UTAH, ,2017,232540,
Novel platform linking cancer-specific glycosylation with cell signaling outcomes,NCI,9572744,1R21CA229044-01,1,R21,CA,229044,1,,,8307907,"ABBOTT, KAREN L.",Not Applicable,UNIV OF ARKANSAS FOR MED SCIS, ,2018,225250,
Host Glycomic Determinants of HIV Persistence in vivo,NIAID,9780902,1R21AI143385-01A1,1,R21,AI,143385,1,A1,,12423100,"ABDEL MOHSEN, MOHAMED ",Not Applicable,WISTAR INSTITUTE, ,2019,267900,
Exploring Cell-free Glycomic Interactions in HIV-associated Neurological Disorders,NINDS,9482097,1R21NS106970-01,1,R21,NS,106970,1,,,12423100,"ABDEL MOHSEN, MOHAMED  ","NDHLOVU, LISHOMWA C",WISTAR INSTITUTE, ,2017,295850,
Evaluation of an OCA2 enhancer variant as a modifier of the phenotype of BAP1-Tumor predisposition syndrome,NCI,9518216,1R21CA219884-01A1,1,R21,CA,219884,1,A1,,10049232,"ABDEL-RAHMAN, MOHAMED H.",Not Applicable,OHIO STATE UNIVERSITY, ,2018,203471,
Application of lipidomics to identify biomarkers of immune and mitochondrial disturbances in Chronic Fatigue Syndrome.,NIAID,9668509,1R21AI142717-01A1,1,R21,AI,142717,1,A1,,10891956,"ABDULLAH, LAILA  ","CRAWFORD, FIONA C.;KLIMAS, NANCY GRACE","ROSKAMP INSTITUTE, INC.", ,2019,212268,
Measuring post-arrest neurologic injury via nanofluidic assay of brain-derived exosomal RNA,NINDS,9824489,1R21NS109763-01A1,1,R21,NS,109763,1,A1,,1885303,"ABELLA, BENJAMIN S",Not Applicable,UNIVERSITY OF PENNSYLVANIA, ,2019,442750,
Exploring the use of a hydroxypyridinone decorporation agent for the removal of toxic residual gadolinium from MRI contrast agent administration,NIBIB,9387827,1R21EB023601-01A1,1,R21,EB,23601,1,A1,,9771162,"ABERGEL, REBECCA J",Not Applicable,UNIVERSITY OF CALIF-LAWRENC BERKELEY LAB, ,2017,263025,
Deep rTMS of the insula for smoking cessation in schizophrenia,NIDA,9054571,1R21DA041128-01,1,R21,DA,41128,1,,,1901199,"ABI-DARGHAM, ANISSA ",Not Applicable,STATE UNIVERSITY NEW YORK STONY BROOK, ,2016,235207,
Elucidating the pathological consequences of tau-ribosome interactions,NINDS,9529933,1R21NS093440-01A1,1,R21,NS,93440,1,A1,,10569691,"ABISAMBRA, JOSE FRANCISCO",Not Applicable,UNIVERSITY OF KENTUCKY, ,2018,1,
An Etiology for Medication Ordering Errors in CPOE Systems,AHRQ,9372429,1R21HS025443-01,1,R21,HS,25443,1,,,10842209,"ABRAHAM, JOANNA ",Not Applicable,UNIVERSITY OF ILLINOIS AT CHICAGO, ,2017,142885,
