"","Project.Title","Administering..IC","Application.ID","Project.Number","Type","Activity","IC","Serial.Number","Support.Year","Suffix","Subproject.Number","Contact.PI..Person.ID","Contact.PI...Project.Leader","Other.PI.or.Project.Leader.s.","Organization.Name","ARRA.Indicator","FY","FY.Total.Cost","FY.Total.Cost...Sub.Projects.","Stats"
"1","Piloting Signs of Safety: A Deaf-Accessible Therapy Toolkit for Alcohol Use Disorder and Trauma","NIAAA",9584817,"1R34AA026929-01",1,"R34","AA",26929,1,"",NA,12108902,"ANDERSON, MELISSA LEE","Not Applicable","Univ Of Massachusetts Med Sch Worcester",NA,2018,282656,NA,"Include"
"2","Impact of aerobic exercise on aging brain in TBI","NIA",9824257,"1R34AG061304-01A1",1,"R34","AG",61304,1,"A1",NA,1958963,"BELL, KATHLEEN R ","DING, KAN ;ZHANG, RONG ","Ut Southwestern Medical Center",NA,2019,325888,NA,"Include"
"3","Using Digital Media Advertising to Reduce the Duration of Untreated Psychosis","NIMH",9825868,"1R34MH120790-01",1,"R34","MH",120790,1,"",NA,11879170,"BIRNBAUM, MICHAEL LEO","Not Applicable","Feinstein Institute For Medical Research",NA,2019,295652,NA,"Include"
"4","A targeted; real-time; technology-supported intervention for patients with alcohol use disorder on disulfiram","NIAAA",9538884,"1R34AA026452-01A1",1,"R34","AA",26452,1,"A1",NA,14929896,"BLEVINS, CLAIRE  ","ABRANTES, ANA M.","Butler Hospital (Providence, Ri)",NA,2018,219904,NA,"Include"
"5","Improving Medication Continuity among Adolescents with ADHD","NIMH",9505234,"1R34MH112648-01A1",1,"R34","MH",112648,1,"A1",NA,8934295,"BRINKMAN, WILLIAM BERNARD","Not Applicable","Cincinnati Childrens Hosp Med Ctr",NA,2018,357750,NA,"Include"
"6","A Mobile Intervention to Improve Uptake of PrEP for Southern Black MSM","NIMH",9340915,"1R34MH111342-01A1",1,"R34","MH",111342,1,"A1",NA,1897950,"BROWN, LARRY K ","MENA, LEANDRO ANTONIO","Rhode Island Hospital",NA,2017,258711,NA,"Include"
"7","Improving Pediatric Lupus Nephritis Through Personalized Mycophenolate Mofetil Therapy","NIAMS",9443723,"1R34AR071651-01A1",1,"R34","AR",71651,1,"A1",NA,7051878,"BRUNNER, HERMINE I ","VINKS, ALEXANDER A","Cincinnati Childrens Hosp Med Ctr",NA,2018,244860,NA,"Include"
"8","Withdrawal of Hydroxychloroquine in Elderly Lupus Patients: Planning Grant","NIAMS",9736151,"1R34AR075283-01",1,"R34","AR",75283,1,"",NA,1877754,"BUYON, JILL P ","IZMIRLY, PETER ","New York University School Of Medicine",NA,2019,266753,NA,"Include"
"9","Adaptive intervention strategies to optimize PrEP clinical evaluation and uptake in stimulant-using men","NIDA",9700968,"1R34DA046367-01A1",1,"R34","DA",46367,1,"A1",NA,9011522,"CARRICO, ADAM WAYNE ","GROV, CHRISTIAN ","University Of Miami School Of Medicine",NA,2019,244499,NA,"Include"
"10","Randomized trials using point of care-guided manipulation of dialysate potassium; dialysate bicarbonate; and ultrafiltration rate to prevent hemodilaysis-associated arrythmia","NHLBI",9438040,"1R34HL140477-01",1,"R34","HL",140477,1,"",NA,7939307,"CHARYTAN, DAVID M ","PUN, PATRICK H","Brigham And Women's Hospital",NA,2018,394485,NA,"Include"
"11","Mobile Application to Improve Care Coordination among HIV Clinic and Substance Use Treatment Providers","NIDA",9199330,"1R34DA041237-01A1",1,"R34","DA",41237,1,"A1",NA,11102224,"CLABORN, KASEY R","Not Applicable","Rhode Island Hospital",NA,2016,197102,NA,"Include"
"12","Optimizing the Home Literacy Environment for Children with Clefts","NIDCR",9599966,"1R34DE027067-01A1",1,"R34","DE",27067,1,"A1",NA,8879782,"COLLETT, BRENT RUSSELL","Not Applicable","Seattle Children's Hospital",NA,2018,248485,NA,"Include"
"13","Commensal Oral Microbiota as a Trigger of Oral Mucositis Severity","NIDCR",9034292,"1R34DE025085-01A1",1,"R34","DE",25085,1,"A1",NA,9889601,"CORBY, PATRICIA M ","SANFILIPPO, NICHOLAS J.","New York University School Of Medicine",NA,2016,267027,NA,"Include"
"14","Feasibility of an Early Detection Program for Early Psychosis on a College Campus","NIMH",9825355,"1R34MH120777-01",1,"R34","MH",120777,1,"",NA,8261876,"CRISANTI, ANNETTE S","Not Applicable","University Of New Mexico Health Scis Ctr",NA,2019,225418,NA,"Include"
